subject_id,p_1k1b_NLL,p_1k1b_AIC,p_1k1b_BIC,p_1k2b_NLL,p_1k2b_AIC,p_1k2b_BIC,p_2k1b_NLL,p_2k1b_AIC,p_2k1b_BIC,p_2k2b_NLL,p_2k2b_AIC,p_2k2b_BIC,l_1k1b_NLL,l_1k1b_AIC,l_1k1b_BIC,l_1k2b_NLL,l_1k2b_AIC,l_1k2b_BIC,l_2k1b_NLL,l_2k1b_AIC,l_2k1b_BIC,l_2k2b_NLL,l_2k2b_AIC,l_2k2b_BIC,h_1k1b_NLL,h_1k1b_AIC,h_1k1b_BIC,h_1k2b_NLL,h_1k2b_AIC,h_1k2b_BIC,h_2k1b_NLL,h_2k1b_AIC,h_2k1b_BIC,h_2k2b_NLL,h_2k2b_AIC,h_2k2b_BIC,grupo
2431,22.9875764825144,49.9751529650289,53.7175549868447,29.8935117562491,65.7870235124982,71.4006265452219,22.9529933348082,51.9059866696164,57.51958970234,29.8935118202487,67.7870236404975,75.271827684129,20.5366226918876,45.0732453837751,48.8156474055909,29.8362287404982,65.6724574809965,71.2860605137201,22.5910366300403,51.1820732600805,56.7956762928042,29.8362287416112,67.6724574832224,75.1572615268539,20.4092547120506,44.8185094241013,48.5609114459171,28.7216085224001,63.4432170448002,69.0568200775238,21.9751498886757,49.9502997773515,55.5639028100752,28.721608454456,65.443216908912,72.9280209525436,1
2690,22.9346313784546,49.8692627569091,53.6116647787249,29.6526177784883,65.3052355569766,70.9188385897002,21.6492938741106,49.2985877482212,54.9121907809448,29.6526177784882,67.3052355569765,74.7900396006081,22.5076283563156,49.0152567126312,52.757658734447,29.6601859506623,65.3203719013245,70.9339749340482,21.471015713588,48.942031427176,54.5556344598997,29.6601859528612,67.3203719057223,74.8051759493539,22.8789705026494,49.7579410052989,53.5003430271147,29.4730016826641,64.9460033653283,70.5596063980519,20.0915149415296,46.1830298830591,51.7966329157828,29.4730016830203,66.9460033660406,74.4308074096722,0
2803,21.4655830637581,46.9311661275162,50.673568149332,23.2966762489802,52.5933524979604,58.2069555306841,27.0908734890172,60.1817469780344,65.795350010758,23.2966762495473,54.5933524990945,62.0781565427261,24.3711145496795,52.7422290993591,56.4846311211748,23.6699412649749,53.3398825299497,58.9534855626734,23.6564278463545,53.3128556927089,58.9264587254326,23.6699412649444,55.3398825298888,62.8246865735204,22.1103117625348,48.2206235250697,51.9630255468854,24.2964231190854,54.5928462381708,60.2064492708944,24.3697530285335,54.7395060570669,60.3531090897906,24.2964230619527,56.5928461239055,64.077650167537,0
2854,11.0903630073764,26.1807260147529,29.9231280365687,22.1807177866169,50.3614355732338,55.9750386059575,11.0903628344091,28.1807256688183,33.7943287015419,22.1807496381784,52.3614992763569,59.8463033199884,-0,4,7.74240202181578,16.6355323334387,39.2710646668774,44.884667699601,5.54517744447956,17.0903548889591,22.7039579216828,16.6355323334387,41.2710646668774,48.7558687105089,-0,4,7.74240202181578,16.6355323334387,39.2710646668774,44.884667699601,5.54517744447956,17.0903548889591,22.7039579216828,16.6355323334387,41.2710646668774,48.7558687105089,0
2899,24.4403444195438,52.8806888390876,56.6230908609034,28.4198137532346,62.8396275064693,68.4532305391929,24.199820344033,54.3996406880659,60.0132437207896,28.4196540068591,64.8393080137182,72.3241120573498,21.8934398381425,47.786879676285,51.5292816981007,28.2185507277389,62.4371014554778,68.0507044882015,23.8137020696779,53.6274041393557,59.2410071720794,28.2185507290276,64.4371014580553,71.9219055016868,22.4544307451976,48.9088614903951,52.6512635122109,28.0098462541275,62.0196925082549,67.6332955409786,22.2438000816399,50.4876001632798,56.1012031960035,28.0098462532854,64.0196925065707,71.5044965502023,0
2959,25.331832412938,54.6636648258759,58.4060668476917,29.6895473002959,65.3790946005917,70.9926976333154,24.4497349260416,54.8994698520832,60.5130728848069,29.6895474919612,67.3790949839224,74.863899027554,24.3902040301105,52.780408060221,56.5228100820368,29.645677744083,65.291355488166,70.9049585208897,23.6219969037472,53.2439938074944,58.8575968402181,29.6456777450117,67.2913554900234,74.7761595336549,24.7137558281721,53.4275116563442,57.16991367816,29.6071972039638,65.2143944079276,70.8279974406512,21.6839879910277,49.3679759820554,54.9815790147791,29.6071971829654,67.2143943659307,74.6991984095623,0
2998,28.3693758381934,60.7387516763869,64.4811536982027,31.3761291536055,68.752258307211,74.3658613399347,24.4424492561839,54.8848985123678,60.4985015450914,31.3761291536055,70.7522583072111,78.2370623508426,27.8016277945365,59.6032555890731,63.3456576108888,30.5183533905835,67.0367067811671,72.6503098138907,22.2986090075659,50.5972180151319,56.2108210478556,30.5183533919074,69.0367067838149,76.5215108274465,28.3374897660581,60.6749795321162,64.417381553932,30.7382666281567,67.4765332563134,73.0901362890371,20.424816496222,46.849632992444,52.4632360251676,30.7382666279968,69.4765332559936,76.9613372996252,0
3103,18.3486991108367,40.6973982216735,44.4398002434893,27.0315529275718,60.0631058551436,65.6767088878673,17.2341977205105,40.468395441021,46.0819984737446,27.0315529275719,62.0631058551437,69.5479098987753,18.5419574650079,41.0839149300159,44.8263169518316,27.3155297293127,60.6310594586254,66.2446624913491,17.5979178562466,41.1958357124932,46.8094387452169,27.315529729391,62.6310594587821,70.1158635024136,18.4848031652784,40.9696063305569,44.7120083523726,27.2644179148779,60.5288358297557,66.1424388624794,16.9590543187287,39.9181086374573,45.531711670181,27.2644179142402,62.5288358284804,70.013639872112,1
3178,20.3785006822858,44.7570013645716,48.4994033863874,26.4782108842878,58.9564217685756,64.5700248012993,20.3785006822813,46.7570013645626,52.3706043972863,26.478210884288,60.956421768576,68.4412258122076,15.7714135564823,35.5428271129647,39.2852291347805,20.5224287833977,47.0448575667954,52.6584605995191,15.8881840929441,37.7763681858882,43.3899712186119,20.5224287834351,49.0448575668702,56.5296616105018,17.1863946848342,38.3727893696685,42.1151913914843,22.6864931054154,51.3729862108308,56.9865892435545,17.5238969036784,41.0477938073568,46.6613968400805,22.6864930372229,53.3729860744458,60.8577901180774,1
3210,18.5231215018071,41.0462430036143,44.78864502543,27.6249083628209,61.2498167256418,66.8634197583654,18.5231218218067,43.0462436436134,48.6598466763371,27.6249083628576,63.2498167257152,70.7346207693468,5.75282511871359,15.5056502374272,19.248052259243,21.1489465652232,48.2978931304464,53.9114961631701,15.2436013952986,36.4872027905973,42.1008058233209,21.148946565086,50.2978931301719,57.7826971738035,9.27930207300696,22.5586041460139,26.3010061678297,22.8690477792266,51.7380955584532,57.3516985911769,15.8583587736218,37.7167175472437,43.3303205799674,22.8690476378899,53.7380952757797,61.2228993194113,1
