subject_id,family,model,k_self,k_other,beta_self,beta_other,NLL,AIC,BIC
6707,parabolic,2K1B,1.86848480969332e-10,0.420295945532097,15.2591278309262,15.2591278309262,9.70406438482805,25.4081287696561,31.0217318023798
7047,parabolic,2K1B,4.01842804345423e-07,0.307883814113847,19.4298549526253,19.4298549526253,7.62478300040469,21.2495660008094,26.8631690335331
7107,parabolic,2K1B,2.67408826874727e-07,0.251608605927425,1.04804902570128,1.04804902570128,21.9704423175291,49.9408846350582,55.5544876677818
7389,parabolic,2K1B,5.93390220802667e-09,0.253971359451071,2.77172795140965,2.77172795140965,13.4444981894201,32.8889963788402,38.5025994115638
7512,parabolic,2K1B,7.5626068428279e-10,0.250428210101273,20.763211211035,20.763211211035,9.01091376210315,24.0218275242063,29.63543055693
7656,parabolic,2K1B,0.300331262786696,0.249826511872202,0.963526076286687,0.963526076286687,22.7228672656599,51.4457345313197,57.0593375640434
7772,parabolic,2K1B,1.61759052620606e-08,0.252253452589304,1.34621402414943,1.34621402414943,21.5804470164454,49.1608940328909,54.7744970656146
7803,parabolic,2K1B,0.147863629261528,0.248196780002147,0.307136100984348,0.307136100984348,32.4405293181398,70.8810586362795,76.4946616690032
7875,parabolic,2K1B,6.04614770955963e-10,0.24999986071011,26.4632907476594,26.4632907476594,9.70406092788988,25.4081218557798,31.0217248885034
7927,parabolic,2K1B,3.83678354634376e-09,0.374123247424903,19.0262756222565,19.0262756222565,10.3972093907979,26.7944187815958,32.4080218143194
7937,parabolic,2K1B,4.48483219806586e-09,0.243314433314736,2.82591382321509,2.82591382321509,13.5035944151667,33.0071888303334,38.6207918630571
8228,parabolic,2K1B,0.112566436301533,0.24891153546775,0.668087445448503,0.668087445448503,30.0971904254638,66.1943808509276,71.8079838836513
8251,parabolic,2K1B,1.23570041650551e-08,0.3414495152257,2.19282955368778,2.19282955368778,17.366872688788,40.733745377576,46.3473484102996
8604,parabolic,2K1B,1.74205164711701e-10,0.42927237477191,15.2752363651218,15.2752363651218,9.7040638598699,25.4081277197398,31.0217307524635
8704,parabolic,2K1B,0.0411211220215224,0.249862257984262,2.09729260282811,2.09729260282811,18.2963608125982,42.5927216251964,48.2063246579201
8925,parabolic,2K1B,0.0791142753308289,0.250076378812317,0.759544416964249,0.759544416964249,29.4149814908641,64.8299629817283,70.443566014452
